iter	MultiClass
0	1.151365519
1	0.9933737566
2	0.8763858657
3	0.7861362914
4	0.7136546932
5	0.6549477933
6	0.6050449066
7	0.5622908976
8	0.5265340309
9	0.4955822199
10	0.4681343537
11	0.4450239975
12	0.4230286564
13	0.4035187678
14	0.3876431428
15	0.3740049267
16	0.3592353477
17	0.3461599011
18	0.3349756867
19	0.3243568183
20	0.3153891584
21	0.3075697293
22	0.2993852618
23	0.2919084687
24	0.2846907424
25	0.2788881451
26	0.2729783508
27	0.2677316731
28	0.263204673
29	0.258828246
30	0.2545448816
31	0.2516074457
32	0.2487427664
33	0.2458377884
34	0.2436891759
35	0.2409253072
36	0.238162195
37	0.234788491
38	0.2323771419
39	0.2300844849
40	0.227602506
41	0.2251028707
42	0.2235091614
43	0.2212043457
44	0.2195270457
45	0.2173850693
46	0.2154595648
47	0.2141449715
48	0.2128474732
49	0.2113800452
50	0.2102540108
51	0.2091548074
52	0.2077215499
53	0.2065472572
54	0.2053515953
55	0.2045435973
56	0.2035937084
57	0.2021670379
58	0.2012168879
59	0.2006414041
60	0.1995571129
61	0.1987780001
62	0.1978932721
63	0.1968902081
64	0.1961239979
65	0.1950842216
66	0.1939934375
67	0.193288326
68	0.1922328549
69	0.1913001118
70	0.1904639429
71	0.1897777555
72	0.1886055667
73	0.1879799589
74	0.1874343804
75	0.1867417857
76	0.1862072753
77	0.1857317613
78	0.1851236337
79	0.1840319889
80	0.1833832819
81	0.1826486195
82	0.1822552086
83	0.1816976251
84	0.1810142592
85	0.1805176118
86	0.1798691014
87	0.1793052006
88	0.1785361973
89	0.1778581665
90	0.1771027237
91	0.1765213206
92	0.1758647665
93	0.175213448
94	0.1746688704
95	0.1742943735
96	0.1739045909
97	0.1733727764
98	0.1727028633
99	0.1721703452
100	0.1715733546
101	0.1711801436
102	0.1708557629
103	0.1703732374
104	0.1698711121
105	0.1696448979
106	0.1692719301
107	0.1688433567
108	0.1684902383
109	0.1679245226
110	0.1675314128
111	0.1672363193
112	0.1667602444
113	0.1664139261
114	0.1661777058
115	0.165782119
116	0.1654439563
117	0.1651811558
118	0.1649071532
119	0.164627388
120	0.1643235975
121	0.164067066
122	0.1634837504
123	0.1629410384
124	0.162629923
125	0.1621028393
126	0.1617928839
127	0.1616467309
128	0.161205178
