iter	Passed	Remaining
0	343	342965
1	516	257490
2	673	223835
3	876	218250
4	1077	214340
5	1230	203819
6	1393	197656
7	1565	194145
8	1826	201070
9	2111	209075
10	2391	214985
11	2568	211457
12	2759	209489
13	2937	206918
14	3212	210950
15	3407	209570
16	3684	213039
17	3895	212506
18	4069	210092
19	4233	207439
20	4387	204545
21	4556	202544
22	4716	200361
23	4903	199429
24	5070	197761
25	5231	195973
26	5371	193578
27	5509	191254
28	5650	189202
29	5791	187261
30	5927	185293
31	6041	182746
32	6170	180804
33	6304	179129
34	6447	177774
35	6571	175974
36	6734	175279
37	6929	175416
38	7111	175239
39	7247	173944
40	7396	172995
41	7568	172624
42	7723	171899
43	7892	171483
44	8032	170477
45	8177	169603
46	8316	168626
47	8431	167222
48	8566	166259
49	8719	165674
50	8856	164809
51	8977	163672
52	9096	162534
53	9228	161677
54	9375	161081
55	9498	160124
56	9617	159117
57	9790	159015
58	9918	158191
59	10052	157488
60	10217	157281
61	10359	156725
62	10555	156991
63	10677	156154
64	10789	155206
65	10930	154686
66	11087	154393
67	11202	153537
68	11329	152868
69	11453	152172
70	11599	151768
71	11715	150993
72	11859	150601
73	11993	150080
74	12115	149419
75	12255	149001
76	12375	148341
77	12491	147652
78	12631	147258
79	12793	147130
80	12964	147085
81	13139	147100
82	13270	146613
83	13402	146150
84	13554	145907
85	13672	145306
86	13820	145034
87	13945	144523
88	14081	144136
89	14205	143637
90	14337	143217
91	14464	142759
92	14588	142275
93	14756	142229
94	14890	141848
95	15034	141579
96	15150	141040
97	15284	140682
98	15409	140244
99	15552	139972
100	15680	139576
101	15795	139066
102	15924	138679
103	16064	138404
104	16224	138293
105	16344	137850
106	16473	137480
107	16631	137360
108	16775	137124
109	16913	136849
110	17059	136625
111	17203	136399
112	17342	136133
113	17518	136153
114	17657	135888
115	17828	135863
116	18050	136226
117	18180	135888
118	18334	135740
119	18509	135733
120	18644	135438
121	18806	135347
122	18971	135268
123	19132	135160
124	19283	134981
125	19416	134685
126	19551	134397
127	19661	133941
128	19797	133674
129	19937	133427
130	20120	133471
